Time CaSSavg CaJSRavg JRyRtot PRyR_open PRyR_ready PNorm_mode PnotVinact PLType_open CaToT2 PIto2_open CaJSRtot CaSStot 
1.299 0.000467158 0.620678 1.02077e-05 0.0024 0.2594 0.866 0.72 0 6.97462 0.002 0.000646304 2.03674 
1.3 0.000457863 0.621132 9.28063e-06 0.0022 0.2602 0.871 0.72 0 6.97409 0.007 0.000639955 2.03755 
1.301 0.000448963 0.621595 8.32754e-06 0.002 0.2614 0.874 0.722 0 6.97357 0.005 0.000632715 2.03838 
1.302 0.000432495 0.622069 7.57642e-06 0.0018 0.262 0.879 0.723 0 6.97304 0.004 0.000623081 2.03922 
1.303 0.000428411 0.622549 7.57236e-06 0.0018 0.2624 0.881 0.724 0 6.97253 0.001 0.00061882 2.04008 
1.304 0.000413653 0.62303 5.8199e-06 0.0014 0.2634 0.883 0.724 0 6.97201 0.002 0.0006094 2.04094 
1.305 0.00041058 0.623524 6.76947e-06 0.0016 0.264 0.886 0.724 0 6.97149 0.003 0.00060484 2.04182 
1.306 0.000413767 0.624006 6.75424e-06 0.0016 0.2646 0.886 0.725 0 6.97098 0.003 0.000604724 2.04268 
1.307 0.000402062 0.624497 5.83985e-06 0.0014 0.2658 0.889 0.725 0 6.97047 0.001 0.000595907 2.04356 
1.308 0.00042144 0.62497 7.59788e-06 0.0018 0.2658 0.891 0.725 0 6.96996 0.002 0.000598336 2.0444 
1.309 0.000416744 0.625432 6.7925e-06 0.0016 0.2666 0.892 0.726 0 6.96946 0.003 0.000596105 2.04523 
1.31 0.000409475 0.625903 6.76819e-06 0.0016 0.2674 0.896 0.726 0 6.96895 0.004 0.000591707 2.04607 
1.311 0.00039752 0.62638 5.90689e-06 0.0014 0.268 0.898 0.727 0 6.96845 0.002 0.000587561 2.04692 
1.312 0.000406683 0.626848 6.84716e-06 0.0016 0.2692 0.906 0.728 0 6.96795 0.001 0.000592809 2.04775 
1.313 0.000411709 0.627308 7.7936e-06 0.0018 0.27 0.911 0.729 0 6.96745 0.003 0.000596599 2.04857 
1.314 0.000416884 0.627756 7.77013e-06 0.0018 0.2712 0.911 0.729 0 6.96696 0.003 0.000598698 2.04936 
1.315 0.000405723 0.628214 6.9117e-06 0.0016 0.2718 0.915 0.729 0 6.96646 0.005 0.000594382 2.05018 
1.316 0.000404187 0.62867 6.90663e-06 0.0016 0.2728 0.916 0.729 0 6.96597 0.005 0.000592239 2.05099 
1.317 0.000402955 0.629125 6.90211e-06 0.0016 0.273 0.918 0.729 0 6.96548 0.002 0.000590456 2.05179 
1.318 0.000401786 0.629578 6.89814e-06 0.0016 0.2738 0.919 0.73 0 6.96499 0.003 0.000588755 2.0526 
1.319 0.000400653 0.63003 6.89465e-06 0.0016 0.2746 0.921 0.73 0 6.96451 0.004 0.000587085 2.0534 
1.32 0.000397139 0.63048 6.97663e-06 0.0016 0.2748 0.922 0.732 0 6.96402 0.002 0.000585796 2.05419 
1.321 0.000392653 0.630929 6.04236e-06 0.0014 0.2752 0.922 0.734 0 6.96354 0.002 0.000581348 2.05499 
1.322 0.000397206 0.631377 6.86124e-06 0.0016 0.276 0.923 0.735 0 6.96306 0.002 0.000582063 2.05578 
1.323 0.000395975 0.631822 6.8523e-06 0.0016 0.2768 0.927 0.735 0 6.96258 0.002 0.000579928 2.05656 
1.324 0.000404627 0.632259 7.67012e-06 0.0018 0.2778 0.928 0.736 0 6.96211 0.002 0.000581141 2.05733 
1.325 0.000403926 0.63269 7.65606e-06 0.0018 0.2788 0.93 0.738 0 6.96163 0.002 0.00057999 2.05809 
1.326 0.000402805 0.63312 7.64318e-06 0.0018 0.2796 0.932 0.739 0 6.96116 0.001 0.000578451 2.05885 
1.327 0.000387474 0.633558 5.99006e-06 0.0014 0.2806 0.935 0.739 0 6.96069 0.001 0.000568863 2.05962 
1.328 0.000391967 0.633995 6.93993e-06 0.0016 0.2812 0.937 0.74 0 6.96022 0.002 0.000569223 2.06039 
1.329 0.000392522 0.634426 7.0067e-06 0.0016 0.2814 0.938 0.74 0 6.95976 0.002 0.000569011 2.06115 
1.33 0.000390848 0.634856 6.99011e-06 0.0016 0.2832 0.939 0.74 0 6.95929 0.003 0.00056657 2.0619 
1.331 0.000378538 0.635297 6.02814e-06 0.0014 0.2838 0.941 0.74 0 6.95883 0.001 0.000557477 2.06268 
1.332 0.000366701 0.635744 5.20857e-06 0.0012 0.2844 0.941 0.74 0 6.95836 0.002 0.000551457 2.06347 
1.333 0.000365341 0.636192 5.20431e-06 0.0012 0.286 0.942 0.74 0 6.95791 0.003 0.000549654 2.06426 
1.334 0.000363582 0.636639 5.20036e-06 0.0012 0.2866 0.942 0.741 0 6.95745 0.003 0.000547161 2.06504 
1.335 0.000362346 0.637083 5.1968e-06 0.0012 0.2878 0.942 0.741 0 6.95699 0.002 0.000545327 2.06583 
1.336 0.000371766 0.637518 6.07149e-06 0.0014 0.288 0.942 0.742 0 6.95654 0.003 0.000546758 2.06659 
1.337 0.00038105 0.637943 6.95907e-06 0.0016 0.289 0.943 0.743 0 6.95609 0.001 0.000548108 2.06733 
1.338 0.000375281 0.638358 6.06012e-06 0.0014 0.2898 0.944 0.743 0 6.95564 0.003 0.000546719 2.06806 
1.339 0.000387835 0.638773 7.97996e-06 0.0018 0.2894 0.944 0.743 0 6.95519 0.008 0.000549678 2.06879 
1.34 0.000402778 0.639164 8.79558e-06 0.002 0.291 0.944 0.743 0 6.95474 0.005 0.000550605 2.06947 
1.341 0.000412005 0.639544 9.57164e-06 0.0022 0.292 0.944 0.744 0 6.95429 0.001 0.000550926 2.07013 
1.342 0.0004104 0.63992 9.48176e-06 0.0022 0.2928 0.944 0.744 0 6.95385 0.001 0.000549668 2.07078 
1.343 0.000399675 0.640304 8.50262e-06 0.002 0.2938 0.945 0.744 0 6.95341 0.004 0.000543012 2.07145 
1.344 0.000396482 0.640695 8.42724e-06 0.002 0.2948 0.946 0.744 0 6.95297 0.006 0.00053992 2.07213 
1.345 0.00039381 0.641087 8.35781e-06 0.002 0.2964 0.947 0.744 0 6.95253 0.001 0.000537151 2.07281 
1.346 0.000391899 0.64148 8.29381e-06 0.002 0.2968 0.947 0.744 0 6.95209 0.002 0.000535327 2.07349 
1.347 0.000390202 0.641872 8.23473e-06 0.002 0.2974 0.95 0.744 0 6.95165 0.001 0.00053374 2.07416 
1.348 0.000388602 0.642265 8.18016e-06 0.002 0.2982 0.95 0.745 0 6.95122 0.001 0.000532222 2.07484 
1.349 0.00039807 0.642647 9.103e-06 0.0022 0.2988 0.953 0.745 0 6.95078 0.002 0.000538236 2.0755 
1.35 0.000397751 0.643025 9.05128e-06 0.0022 0.2992 0.955 0.746 0 6.95035 0.001 0.000537969 2.07615 
1.351 0.000396468 0.643402 9.0038e-06 0.0022 0.2992 0.956 0.746 0 6.94992 0.003 0.000536736 2.0768 
1.352 0.000405523 0.643775 9.88662e-06 0.0024 0.3002 0.956 0.747 0 6.94949 0.003 0.000537895 2.07744 
1.353 0.000395019 0.644144 9.90858e-06 0.0024 0.3002 0.956 0.748 0 6.94907 0.001 0.000535318 2.07807 
1.354 0.000396224 0.644511 8.9558e-06 0.0022 0.3008 0.957 0.748 0 6.94864 0.001 0.000536529 2.0787 
1.355 0.000392651 0.644885 8.91625e-06 0.0022 0.3014 0.96 0.748 0 6.94822 0 0.000532509 2.07934 
1.356 0.000373323 0.645268 7.37998e-06 0.0018 0.3024 0.962 0.748 0 6.94779 0.001 0.000526424 2.08 
1.357 0.000362521 0.645662 6.62468e-06 0.0016 0.303 0.962 0.748 0 6.94737 0.001 0.000522209 2.08068 
1.358 0.000362835 0.646053 6.78472e-06 0.0016 0.3034 0.963 0.75 0 6.94695 0.001 0.000521425 2.08136 
1.359 0.000352266 0.646451 6.0089e-06 0.0014 0.304 0.963 0.75 0 6.94654 0.001 0.000516709 2.08206 
1.36 0.000339508 0.646861 5.09808e-06 0.0012 0.3048 0.963 0.751 0 6.94612 0.001 0.000511305 2.08277 
1.361 0.000338107 0.647271 5.10361e-06 0.0012 0.3054 0.966 0.752 0 6.94571 0 0.000509287 2.08349 
1.362 0.000326911 0.647689 4.17912e-06 0.001 0.3068 0.966 0.752 0 6.94529 0.003 0.000501263 2.08422 
1.363 0.000324766 0.648106 4.18612e-06 0.001 0.3078 0.966 0.753 0 6.94488 0.001 0.000498098 2.08494 
1.364 0.000323617 0.64852 4.19292e-06 0.001 0.3082 0.967 0.754 0 6.94447 0.004 0.000496229 2.08566 
1.365 0.000322686 0.64893 4.19953e-06 0.001 0.3096 0.968 0.757 0 6.94407 0.001 0.000494689 2.08638 
1.366 0.000324657 0.649336 5.20341e-06 0.0012 0.31 0.969 0.757 0 6.94366 0.002 0.000496233 2.08708 
1.367 0.000313134 0.649745 3.42508e-06 0.0008 0.3114 0.969 0.757 0 6.94326 0.001 0.000490301 2.08779 
1.368 0.000310457 0.650157 3.43521e-06 0.0008 0.3126 0.97 0.757 0 6.94285 0.001 0.000487234 2.08851 
1.369 0.00030942 0.650567 3.44404e-06 0.0008 0.3134 0.97 0.757 0 6.94245 0.001 0.000485559 2.08922 
1.37 0.000308579 0.650974 3.45253e-06 0.0008 0.3142 0.97 0.757 0 6.94205 0.001 0.000484133 2.08993 
1.371 0.000298023 0.651387 2.53773e-06 0.0006 0.3148 0.97 0.757 0 6.94166 0.001 0.000476779 2.09064 
1.372 0.000295663 0.651801 2.54668e-06 0.0006 0.3158 0.97 0.758 0 6.94126 0 0.000473368 2.09136 
1.373 0.000303744 0.652207 3.5459e-06 0.0008 0.317 0.971 0.758 0 6.94087 0.003 0.000478029 2.09206 
1.374 0.000305898 0.652602 3.54653e-06 0.0008 0.3174 0.972 0.758 0 6.94047 0.001 0.000478722 2.09275 
1.375 0.000306045 0.652994 3.54962e-06 0.0008 0.3186 0.972 0.758 0 6.94008 0.002 0.000478481 2.09342 
1.376 0.0003047 0.653385 3.55312e-06 0.0008 0.319 0.972 0.759 0 6.93969 0 0.000476596 2.0941 
1.377 0.000331919 0.653754 6.3699e-06 0.0014 0.3202 0.971 0.759 0 6.9393 0.001 0.00049135 2.09473 
1.378 0.000326972 0.654114 5.36612e-06 0.0012 0.3208 0.972 0.759 0 6.93892 0.001 0.000488026 2.09535 
1.379 0.000315768 0.654485 4.39645e-06 0.001 0.3222 0.972 0.76 0 6.93853 0.002 0.000480293 2.09599 
1.38 0.000312836 0.65486 4.39391e-06 0.001 0.3228 0.972 0.762 0 6.93815 0.002 0.000476349 2.09663 
1.381 0.000311583 0.655235 4.39173e-06 0.001 0.3236 0.974 0.763 0 6.93776 0.002 0.000474469 2.09727 
1.382 0.000310679 0.655608 4.38979e-06 0.001 0.3242 0.974 0.763 0 6.93738 0.003 0.000473073 2.09791 
1.383 0.000299764 0.655989 3.56908e-06 0.0008 0.325 0.974 0.763 0 6.937 0.004 0.000468521 2.09857 
1.384 0.000285919 0.656375 1.72546e-06 0.0004 0.3254 0.975 0.764 0 6.93662 0.003 0.00046077 2.09923 
1.385 0.00027599 0.656779 1.73043e-06 0.0004 0.3258 0.975 0.764 0 6.93625 0.003 0.000450576 2.09992 
1.386 0.000273943 0.65718 1.73519e-06 0.0004 0.326 0.975 0.765 0 6.93587 0.002 0.000447438 2.10061 
1.387 0.000272829 0.657578 1.73977e-06 0.0004 0.3268 0.975 0.766 0 6.9355 0.004 0.000445634 2.1013 
1.388 0.000262691 0.657981 8.77105e-07 0.0002 0.3276 0.976 0.766 0 6.93512 0.001 0.00043822 2.10199 
1.389 0.000260482 0.658385 8.78969e-07 0.0002 0.3284 0.978 0.766 0 6.93475 0 0.000435049 2.10269 
1.39 0.000259325 0.658786 8.80743e-07 0.0002 0.3292 0.978 0.766 0 6.93438 0.002 0.000433207 2.10337 
1.391 0.000248819 0.659194 0 0 0.3304 0.978 0.767 0 6.93402 0.002 0.000425523 2.10407 
1.392 0.000246871 0.659601 1.01657e-06 0.0002 0.332 0.979 0.768 0 6.93365 0.002 0.000422715 2.10477 
1.393 0.000248217 0.660004 1.0129e-06 0.0002 0.3328 0.98 0.768 0 6.93329 0.003 0.000423586 2.10547 
1.394 0.000256792 0.660392 9.95264e-07 0.0002 0.3334 0.98 0.768 0 6.93292 0 0.000427734 2.10613 
1.395 0.000256337 0.660777 9.90512e-07 0.0002 0.334 0.98 0.768 0 6.93256 0.002 0.000426889 2.10679 
1.396 0.000255561 0.661162 9.86131e-07 0.0002 0.3346 0.981 0.769 0 6.9322 0.002 0.000425695 2.10745 
1.397 0.000254744 0.661544 9.82053e-07 0.0002 0.3356 0.982 0.77 0 6.93184 0.002 0.000424458 2.1081 
1.398 0.000253928 0.661925 9.78254e-07 0.0002 0.337 0.982 0.77 0 6.93148 0.002 0.000423223 2.10875 
1.399 0.000253121 0.662304 9.74711e-07 0.0002 0.3376 0.982 0.77 0 6.93113 0.001 0.000421996 2.10939 
1.4 0.000252323 0.662681 9.7141e-07 0.0002 0.3386 0.983 0.77 0 6.93077 0.001 0.000420778 2.11004 
1.401 0.000251532 0.663057 9.68333e-07 0.0002 0.34 0.983 0.771 0 6.93042 0.002 0.000419569 2.11067 
1.402 0.000250748 0.663432 9.65468e-07 0.0002 0.3404 0.984 0.772 0 6.93007 0 0.000418368 2.11131 
1.403 0.000249972 0.663804 9.62799e-07 0.0002 0.3414 0.984 0.772 0 6.92972 0 0.000417176 2.11194 
1.404 0.0002492 0.664175 9.60319e-07 0.0002 0.342 0.984 0.773 0 6.92937 0.001 0.00041599 2.11257 
1.405 0.000248438 0.664545 9.58005e-07 0.0002 0.3428 0.982 0.774 0 6.92902 0.001 0.000414814 2.1132 
1.406 0.000248607 0.664911 9.5585e-07 0.0002 0.343 0.983 0.774 0 6.92867 0.002 0.000414898 2.11382 
1.407 0.000247142 0.665278 9.5385e-07 0.0002 0.3434 0.984 0.774 0 6.92833 0 0.000412802 2.11444 
1.408 0.00024625 0.665643 9.51993e-07 0.0002 0.3438 0.982 0.774 0 6.92798 0.001 0.00041142 2.11505 
1.409 0.000235405 0.666015 0 0 0.3442 0.982 0.775 0 6.92764 0.001 0.000404078 2.11568 
1.41 0.000233071 0.66639 0 0 0.3448 0.983 0.776 0 6.9273 0.003 0.000400797 2.11632 
1.411 0.000231991 0.666762 0 0 0.3452 0.984 0.778 0 6.92696 0.002 0.000399098 2.11695 
1.412 0.000231164 0.667133 0 0 0.3458 0.984 0.779 0 6.92662 0 0.000397779 2.11757 
1.413 0.000231701 0.6675 0 0 0.3468 0.984 0.779 0 6.92628 0 0.000398214 2.11819 
1.414 0.000229936 0.667867 0 0 0.3474 0.984 0.779 0 6.92594 0.003 0.000395803 2.11881 
1.415 0.000229027 0.668232 0 0 0.348 0.984 0.779 0 6.92561 0.001 0.000394364 2.11943 
1.416 0.000228266 0.668595 0 0 0.3482 0.984 0.78 0 6.92528 0 0.000393148 2.12004 
1.417 0.000227548 0.668956 0 0 0.349 0.984 0.781 0 6.92494 0.001 0.000391999 2.12065 
1.418 0.000226845 0.669316 0 0 0.3494 0.983 0.781 0 6.92461 0.001 0.000390874 2.12125 
1.419 0.00022615 0.669673 0 0 0.3506 0.983 0.782 0 6.92428 0.001 0.000389761 2.12185 
1.42 0.000225461 0.670029 0 0 0.3522 0.983 0.782 0 6.92395 0.004 0.000388659 2.12245 
1.421 0.000224778 0.670384 0 0 0.3532 0.983 0.782 0 6.92363 0 0.000387564 2.12305 
1.422 0.000224099 0.670736 0 0 0.3544 0.983 0.783 0 6.9233 0.003 0.000386476 2.12364 
1.423 0.000223426 0.671088 0 0 0.355 0.983 0.784 0 6.92297 0.001 0.000385396 2.12423 
1.424 0.000222756 0.671437 0 0 0.3558 0.982 0.784 0 6.92265 0.001 0.000384322 2.12481 
1.425 0.000222316 0.671785 0 0 0.3564 0.984 0.785 0 6.92233 0.003 0.000383599 2.12539 
1.426 0.00022149 0.672131 0 0 0.357 0.984 0.785 0 6.92201 0 0.000382289 2.12598 
1.427 0.000220791 0.672476 0 0 0.3574 0.984 0.785 0 6.92169 0 0.000381168 2.12655 
1.428 0.000229069 0.672814 1.02065e-06 0.0002 0.3586 0.984 0.785 0 6.92137 0 0.000386532 2.12712 
1.429 0.00023204 0.67314 1.01188e-06 0.0002 0.3598 0.985 0.785 0 6.92105 0.003 0.000387952 2.12766 
1.43 0.000231743 0.673466 1.00704e-06 0.0002 0.3604 0.985 0.787 0 6.92073 0.002 0.000387414 2.12821 
1.431 0.000231076 0.673792 1.00255e-06 0.0002 0.3614 0.985 0.787 0 6.92042 0.003 0.000386395 2.12875 
1.432 0.000230416 0.674116 9.98374e-07 0.0002 0.3622 0.985 0.787 0 6.9201 0.001 0.000385395 2.12929 
1.433 0.000229763 0.67444 9.9448e-07 0.0002 0.3644 0.986 0.788 0 6.91979 0 0.000384405 2.12983 
1.434 0.000229141 0.674763 9.90851e-07 0.0002 0.3652 0.986 0.79 0 6.91947 0 0.000383462 2.13037 
1.435 0.00023971 0.675078 1.93831e-06 0.0004 0.366 0.987 0.79 0 6.91916 0.001 0.00038546 2.1309 
1.436 0.000239714 0.675385 1.92192e-06 0.0004 0.3666 0.987 0.79 0 6.91885 0.001 0.000385235 2.13141 
1.437 0.000248879 0.67569 2.81449e-06 0.0006 0.3668 0.989 0.792 0 6.91854 0 0.000385633 2.13192 
1.438 0.000249507 0.675984 2.77854e-06 0.0006 0.3672 0.99 0.793 0 6.91823 0 0.000385881 2.1324 
1.439 0.000238293 0.676284 1.86364e-06 0.0004 0.3678 0.99 0.793 0 6.91793 0.001 0.000383301 2.1329 
1.44 0.000236846 0.676591 1.85284e-06 0.0004 0.3688 0.99 0.793 0 6.91762 0.002 0.000381703 2.13341 
1.441 0.000236071 0.676897 1.84263e-06 0.0004 0.37 0.989 0.794 0 6.91731 0.004 0.000380675 2.13392 
1.442 0.000225395 0.677206 9.32382e-07 0.0002 0.3708 0.989 0.794 0 6.91701 0.004 0.000377244 2.13443 
1.443 0.000223478 0.677523 9.33175e-07 0.0002 0.3716 0.989 0.794 0 6.91671 0.001 0.000375148 2.13496 
1.444 0.000222732 0.677838 9.3337e-07 0.0002 0.3724 0.99 0.794 0 6.9164 0.001 0.000374007 2.13548 
1.445 0.000222566 0.678151 9.33562e-07 0.0002 0.373 0.99 0.794 0 6.9161 0.003 0.000373688 2.136 
1.446 0.000221979 0.678462 9.33762e-07 0.0002 0.3738 0.99 0.795 0 6.9158 0.001 0.000372761 2.13651 
